"Course Code (long)","faculty","course_code","name","credits","level","term","section_number","location","instructor","capacity","enrolled","status","meeting_type","meeting_date","meeting_start_date","meeting_end_date","meeting_days","meeting_start_time","meeting_end_time","meeting_building","meeting_room"
"ACCT*1220*0101","ACCT","1220","Intro Financial Accounting","0.50","Undergraduate","Fall 2022","0101","Guelph","P. Lassou","48","3","Open","LEC",,"2022/09/08","2022/12/16","Fri","08:30 AM","10:20 AM","ROZH","104"
,,,,,,,,,,,,,"SEM",,"2022/09/08","2022/12/16","Mon","04:30 PM","05:20 PM","MCKN","225"
,,,,,,,,,,,,,"EXAM","2022/12/06",,,"Tues","08:30 AM","10:30 AM",,
"ACCT*1220*0102","ACCT","1220","Intro Financial Accounting","0.50","Undergraduate","Fall 2022","0102","Guelph","P. Lassou","48","1","Open","LEC",,"2022/09/08","2022/12/16","Fri","08:30 AM","10:20 AM","ROZH","104"
,,,,,,,,,,,,,"SEM",,"2022/09/08","2022/12/16","Tues","08:30 AM","09:20 AM","MCKN","227"
,,,,,,,,,,,,,"EXAM","2022/12/06",,,"Tues","08:30 AM","10:30 AM",,
"ACCT*1220*0103","ACCT","1220","Intro Financial Accounting","0.50","Undergraduate","Fall 2022","0103","Guelph","P. Lassou","48","1","Open","LEC",,"2022/09/08","2022/12/16","Fri","08:30 AM","10:20 AM","ROZH","104"
,,,,,,,,,,,,,"SEM",,"2022/09/08","2022/12/16","Wed","04:30 PM","05:20 PM","MCKN","228"
,,,,,,,,,,,,,"EXAM","2022/12/06",,,"Tues","08:30 AM","10:30 AM",,
"ACCT*1220*0104","ACCT","1220","Intro Financial Accounting","0.50","Undergraduate","Fall 2022","0104","Guelph","P. Lassou","48","0","Closed","LEC",,"2022/09/08","2022/12/16","Fri","08:30 AM","10:20 AM","ROZH","104"
,,,,,,,,,,,,,"SEM",,"2022/09/08","2022/12/16","Thur","12:30 PM","01:20 PM","MACS","121"
,,,,,,,,,,,,,"EXAM","2022/12/06",,,"Tues","08:30 AM","10:30 AM",,
"ACCT*1220*0105","ACCT","1220","Intro Financial Accounting","0.50","Undergraduate","Fall 2022","0105","Guelph","P. Lassou","48","1","Open","LEC",,"2022/09/08","2022/12/16","Fri","08:30 AM","10:20 AM","ROZH","104"
,,,,,,,,,,,,,"SEM",,"2022/09/08","2022/12/16","Mon","11:30 AM","12:20 PM","MCKN","226"
,,,,,,,,,,,,,"EXAM","2022/12/06",,,"Tues","08:30 AM","10:30 AM",,
"ACCT*1220*0106","ACCT","1220","Intro Financial Accounting","0.50","Undergraduate","Fall 2022","0106","Guelph","P. Lassou","48","0","Closed","LEC",,"2022/09/08","2022/12/16","Fri","08:30 AM","10:20 AM","ROZH","104"
,,,,,,,,,,,,,"SEM",,"2022/09/08","2022/12/16","Tues","02:30 PM","03:20 PM","MACS","121"
,,,,,,,,,,,,,"EXAM","2022/12/06",,,"Tues","08:30 AM","10:30 AM",,
"ACCT*1220*0107","ACCT","1220","Intro Financial Accounting","0.50","Undergraduate","Fall 2022","0107","Guelph","P. Lassou","70","1","Open","LEC",,"2022/09/08","2022/12/16","Fri","08:30 AM","10:20 AM","ROZH","104"
,,,,,,,,,,,,,"SEM",,"2022/09/08","2022/12/16","Tues","09:30 AM","10:20 AM","AD-S","VIRTUAL"
,,,,,,,,,,,,,"EXAM","2022/12/06",,,"Tues","08:30 AM","10:30 AM",,
"ACCT*1220*0108","ACCT","1220","Intro Financial Accounting","0.50","Undergraduate","Fall 2022","0108","Guelph","P. Lassou","70","2","Open","LEC",,"2022/09/08","2022/12/16","Fri","08:30 AM","10:20 AM","ROZH","104"
